token_id,name,symbol,timestamp,market_cap,total_volume,solana_mint,longterm_holders,pct_change
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,2025-02-13T09:09:01.202780,2454879376,474849218,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,0,0.0
virtual-protocol,Virtuals Protocol,VIRTUAL,2025-02-13T09:09:01.202780,845091433,246658168,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y,0,0.0
pyth-network,Pyth Network,PYTH,2025-02-13T09:09:01.202780,749200467,42047667,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,0,0.0
ai16z,ai16z,AI16Z,2025-02-13T09:09:01.202780,543405072,309127669,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
fartcoin,Fartcoin,FARTCOIN,2025-02-13T09:09:01.202780,523195309,205573472,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0,0.0
chex-token,CHEX Token,CHEX,2025-02-13T09:09:01.202780,438958473,5469989,6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,0,0.0
ai-rig-complex,AI Rig Complex,ARC,2025-02-13T09:09:01.202780,373668387,216671431,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
baby-doge-coin,Baby Doge Coin,BABYDOGE,2025-02-13T09:09:01.202780,279823647,81559171,7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,0,0.0
bio-protocol,Bio Protocol,BIO,2025-02-13T09:09:01.202780,247609128,74560614,bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ,0,0.0
drift-protocol,Drift Protocol,DRIFT,2025-02-13T09:09:01.202780,224495350,39079826,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,0,0.0
melania-meme,Melania Meme,MELANIA,2025-02-13T09:09:01.202780,218862455,64517288,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
threshold-network-token,Threshold Network,T,2025-02-13T09:09:01.202780,213140178,13016494,4Njvi3928U3figEF5tf8xvjLC5GqUN33oe4XTJNe7xXC,0,0.0
aixbt,aixbt by Virtuals,AIXBT,2025-02-13T09:09:01.202780,211364332,170848679,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
gmt-token,GoMining Token,GOMINING,2025-02-13T09:09:01.202780,193138086,16796631,3KzAE8dPyJRgZ36Eh81v7WPwi6dm7bDhdMb8EAus2RAf,0,0.0
