timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
2025-02-12T10:33:11.450776,ai16z,ai16z,ai16z,541022611,336947190,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T10:33:11.450776,ai-rig-complex,AI Rig Complex,arc,313904105,138905174,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-12T10:33:11.450776,melania-meme,Melania Meme,melania,213487001,47806154,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-12T10:33:11.450776,aixbt,aixbt by Virtuals,aixbt,212245061,142065883,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,756,0.0
2025-02-12T10:33:11.450776,act-i-the-ai-prophecy,Act I The AI Prophecy,act,171841854,50623619,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,578,36.32075471698113
2025-02-12T10:33:11.450776,griffain,GRIFFAIN,griffain,142651068,46105193,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,238,-47.69230769230769
2025-02-12T10:33:11.450776,book-of-meme,BOOK OF MEME,bome,138650805,52314281,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,769,102.9023746701847
2025-02-12T10:33:11.450776,zignaly,ZIGChain,zig,131331986,6087015,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,144,-79.39914163090128
2025-02-12T10:33:11.450776,tars-protocol,TARS AI,tai,114383401,4496899,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,898,30.523255813953487
ai16z,ai16z,ai16z,2025-02-12T10:39:53.713557,545189187,336986008,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T10:39:53.713557,315695225,138454750,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
