token_id,name,symbol,timestamp,market_cap,total_volume,solana_mint,longterm_holders,pct_change
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,2025-02-13T09:04:03.292991,2451477268,467520193,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,0,0.0
virtual-protocol,Virtuals Protocol,VIRTUAL,2025-02-13T09:04:03.292991,841609531,246695540,3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y,0,0.0
pyth-network,Pyth Network,PYTH,2025-02-13T09:04:03.292991,745508987,41968938,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,0,0.0
ai16z,ai16z,AI16Z,2025-02-13T09:04:03.292991,539353150,309051138,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
fartcoin,Fartcoin,FARTCOIN,2025-02-13T09:04:03.292991,518394677,205585472,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,0,0.0
chex-token,CHEX Token,CHEX,2025-02-13T09:04:03.292991,438532222,5471821,6dKCoWjpj5MFU5gWDEFdpUUeBasBLK3wLEwhUzQPAa1e,0,0.0
ai-rig-complex,AI Rig Complex,ARC,2025-02-13T09:04:03.292991,370057545,216535234,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
baby-doge-coin,Baby Doge Coin,BABYDOGE,2025-02-13T09:04:03.292991,277294234,80946480,7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,0,0.0
bio-protocol,Bio Protocol,BIO,2025-02-13T09:04:03.292991,244955764,74277574,bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ,0,0.0
drift-protocol,Drift Protocol,DRIFT,2025-02-13T09:04:03.292991,224945135,38142717,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,0,0.0
melania-meme,Melania Meme,MELANIA,2025-02-13T09:04:03.292991,217838650,64349829,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
threshold-network-token,Threshold Network,T,2025-02-13T09:04:03.292991,212525944,12977080,4Njvi3928U3figEF5tf8xvjLC5GqUN33oe4XTJNe7xXC,0,0.0
