timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
2025-02-12T19:34:37.037246,ai16z,ai16z,ai16z,517692928,343491440,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T19:34:37.037246,ai-rig-complex,AI Rig Complex,arc,312640167,171992388,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,-100.0
2025-02-12T19:34:37.037246,melania-meme,Melania Meme,melania,212988773,57327670,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,-100.0
2025-02-12T19:34:37.037246,aixbt,aixbt by Virtuals,aixbt,202935163,143186742,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,979,5.268817204301075
2025-02-12T19:34:37.037246,act-i-the-ai-prophecy,Act I The AI Prophecy,act,182153902,65236575,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,771,287.43718592964825
2025-02-12T19:34:37.037246,book-of-meme,BOOK OF MEME,bome,144464473,76266289,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,546,-37.38532110091743
2025-02-12T19:34:37.037246,griffain,GRIFFAIN,griffain,143989614,46913225,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,964,142.82115869017633
2025-02-12T19:34:37.037246,zignaly,ZIGChain,zig,135500708,13357827,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,345,8.49056603773585
2025-02-12T19:34:37.037246,tars-protocol,TARS AI,tai,119740063,5145088,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,747,242.6605504587156
ai16z,ai16z,ai16z,2025-02-12T19:41:18.757647,515256015,340689483,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T19:41:18.757647,311199434,171417933,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,melania,2025-02-12T19:41:18.757647,212938661,54299969,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T19:41:18.757647,203330599,143210938,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,410,4.060913705583756
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T19:41:18.757647,182093069,65521022,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,634,55.77395577395578
book-of-meme,BOOK OF MEME,bome,2025-02-12T19:41:18.757647,146152245,76601881,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,478,-22.149837133550488
griffain,GRIFFAIN,griffain,2025-02-12T19:41:18.757647,143982896,46937433,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,640,9.965635738831615
zignaly,ZIGChain,zig,2025-02-12T19:41:18.757647,135563484,13426045,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,450,150.0
tars-protocol,TARS AI,tai,2025-02-12T19:41:18.757647,120528703,5140521,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,559,75.23510971786834
2025-02-12T20:34:47.620045,ai16z,ai16z,ai16z,542872655,340816633,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T20:34:47.620045,ai-rig-complex,AI Rig Complex,arc,331742349,176600294,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,738,0.0
2025-02-12T20:34:47.620045,melania-meme,Melania Meme,melania,213505749,57205391,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,212,0.0
2025-02-12T20:34:47.620045,aixbt,aixbt by Virtuals,aixbt,208977779,148094836,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,-100.0
2025-02-12T20:34:47.620045,act-i-the-ai-prophecy,Act I The AI Prophecy,act,182444428,65824782,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,895,16.08300907911803
2025-02-12T20:34:47.620045,griffain,GRIFFAIN,griffain,147863983,47476250,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,669,-30.601659751037346
