token_id,name,symbol,holder_count,market_cap,previous_rank
chainlink,Chainlink,LINK,0,11807804668,1
dai,Dai,DAI,0,3475474963,2
vechain,VeChain,VET,0,2687775628,3
kaia,Kaia,KAIA,0,769972267,4
berachain-bera,Berachain,BERA,0,597400133,5
ai16z,ai16z,AI16Z,0,541022611,6
aioz-network,AIOZ Network,AIOZ,0,507847888,7
thorchain,THORChain,RUNE,0,471597949,8
quantixai,QuantixAI,QAI,0,437840885,9
stakestone-berachain-vault-token,StakeStone Berachain Vault Token,BERASTONE,0,420487286,10
ai-companions,AI Companions,AIC,0,381640335,11
ai-rig-complex,AI Rig Complex,ARC,0,313644788,12
